,ユーザーURL,プロフィール,総いいね数,フォロワー,github,twitter,ポートフォリオ,Article数,Scraps数
0,https://zenn.dev/shimotaroo,2020年4月から関西でWebエンジニア。PHP/Laravel/jQuery/Vue.js/Git,24,1,https://github.com/shimotaroo,https://twitter.com/shimotaroo,https://linktr.ee/shimotaroo,11,0
1,https://zenn.dev/barusu,趣味で馬をやっている者だ,72,12,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,34,2
2,https://zenn.dev/j_09,はじめまして！ プログラミング初学者です！ よろしくおねがいします！,35,2,https://github.com/junono09,https://twitter.com/jo51608309,none,24,3
3,https://zenn.dev/centerfield77,"1988年生まれ　東京在住 React, Djangoが好きです。 Qiita：qiita.com/centerfield",0,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
4,https://zenn.dev/ikuya,Ubuntu Japanese Teamの人。VirtualBox翻訳者。team zpn主宰。,36,11,https://github.com/ikunya,https://twitter.com/ikunya,https://blog.goo.ne.jp/ikunya/,7,0
5,https://zenn.dev/chatii,PHPer,10,0,https://github.com/chatii,https://twitter.com/chatii0079,https://chatii.net/,5,0
6,https://zenn.dev/kentama,Micronautにはまってます,4,0,https://github.com/kentama7,https://twitter.com/zenn_dev,none,3,1
7,https://zenn.dev/newgyu,うしだもー,9,3,https://github.com/newgyu,https://twitter.com/newgyu,none,2,0
8,https://zenn.dev/tkusaka,"Generative Design を含む Dynamo, Civil 3D, InfraWorks, Revit を中心に見ています。",0,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,1,0
9,https://zenn.dev/enven,会社員したりパパしたり。 python、aws、ﾁｮｯﾄﾃﾞｷﾙ。,29,1,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/enven_omiomi,none,3,4
10,https://zenn.dev/awsmgs,at ZOZO Technologies,5,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,2,0
11,https://zenn.dev/zilch,保育×テクノロジーに興味あり。家にいる時間が増えた今は家庭内をスマート化することに取り組んでいます。,2,1,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,2,0
12,https://zenn.dev/sssht03,本格的に開発を始めたのはここ半年くらいの初心者です。 flutterでのモバイルアプリ開発やVue.jsでのフロントエンド開発をしています。,0,0,https://github.com/sssht03,https://twitter.com/sssht03,https://sssht03.github.io/homepage/,1,0
13,https://zenn.dev/paya02,新潟でフリーランスエンジニアをやっています！ SIerからWeb系エンジニアにキャリアチェンジしました。よろしくお願い致します。 Laravel、Vue.js、Oracle PL/SQL、MySQL、VBA、VB.netなど,3,1,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/paya02_ictdev,https://paya02.com/,2,0
14,https://zenn.dev/koduki,自称Webプログラマ。こんなの作ってます。 - [Markdownでタスク管理 task.Notes]( tasknotes.nklab.dev/ ) - [VRでのスライドを支援するSlide4VR]( slide4vr.nklab.dev/ ),1323,113,https://github.com/koduki,https://twitter.com/koduki,https://koduki.hatenablog.com/,20,4
15,https://zenn.dev/studio_shimazu,Unityインストラクター,1,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/simanezumi1989,https://fromalgorithm.jimdofree.com/,2,0
16,https://zenn.dev/ballistyx,watashi ha noob desu.,0,0,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,5,0
17,https://zenn.dev/keonabut,"I'm interested in Machine Learning, Optimization, Security, Graph etc.",16,1,https://github.com/zenn-dev/zenn-roadmap/projects/1,https://twitter.com/zenn_dev,none,4,1
18,https://zenn.dev/aikizoku,"iOS, backend engineer. 開発会社を経営しながらコードを書く日常 Go / Javascript / Swift / Objective-C / Java / Python / GCP / AWS",58,9,https://github.com/aikizoku,https://twitter.com/aikizoku,none,5,0
